state,x,y
Andhra Pradesh,-54,-143
Arunachal Pradesh,200,94
Assam,166,54
Bihar,54,43
Chhattisgarh,-9,-25
Goa,-134,-136
Gujarat,-179,-5
Haryana,-100,104
Himachal Pradesh,-94,163
Jammu & Kashmir,-100,203
Jharkand,41,6
Karnataka,-110,-151
Kerala,-90,-233
Madhya Pradesh,-66,0
Maharashtra,-119,-66
Manipur,183,22
Meghalaya,131,37
Mizoram,167,-13
Nagaland,195,48
Odisha,33,-56
Punjab,-117,134
Rajasthan,-142,67
Sikkim,99,77
Tamil Nadu,-63,-207
Telangana,-57,-92
Tripura,147,6
Uttar Pradesh,-42,68
Uttarakhand,-55,128
West Bengal,91,-8
